id,tank,block,tag,colony,temp,water,temp.water,zoox_cm,chla_cm,chlc_cm,chla_cell,chlc_cell,chl_ac
01_12,1,1,12,a,elevated,discharge,elevated.discharge,834871.7949,3198992.65,1398016.923,3.83171724,1.67452887,2.288235998
01_13,1,1,13,b,elevated,discharge,elevated.discharge,763073.6393,2744860.37,1098528.104,3.597110723,1.439609557,2.498671049
01_14,1,1,14,c,elevated,discharge,elevated.discharge,580258.3026,2773723.862,932749.0775,4.780153683,1.607472178,2.973708502
01_15,1,1,15,d,elevated,discharge,elevated.discharge,1200328.407,4957456.942,1874248.404,4.130083827,1.561446344,2.645037303
01_16,1,1,16,e,elevated,discharge,elevated.discharge,813022.4373,4383570.245,1385136.457,5.391696519,1.703687861,3.164720864
01_17,1,1,17,f,elevated,discharge,elevated.discharge,1153578.337,5176340.748,1628565.119,4.487203499,1.411750782,3.178467159
01_18,1,1,18,g,elevated,discharge,elevated.discharge,738249.2454,2402687.581,609516.0989,3.254575058,0.825623734,3.941959179
01_19,1,1,19,h,elevated,discharge,elevated.discharge,1406434.073,4453849.116,1651269.446,3.166767075,1.174082367,2.697227353
01_20,1,1,20,i,elevated,discharge,elevated.discharge,1540049.14,7753590.909,2581530.303,5.034638641,1.67626489,3.003486304
01_21,1,1,21,j,elevated,discharge,elevated.discharge,873059.3607,4813447.184,1599941.755,5.513310321,1.83256927,3.008514009
01_22,1,1,22,k,elevated,discharge,elevated.discharge,887931.0345,4174721.983,1664870.259,4.701628641,1.874999515,2.507535924
02_12,2,1,12,a,elevated,offshore,elevated.offshore,542690.0585,2172638.012,401288.694,4.003460129,0.739443606,5.414152067
02_13,2,1,13,b,elevated,offshore,elevated.offshore,1605745.063,5081665.171,1686580.072,3.164677437,1.050341123,3.012999653
02_14,2,1,14,c,elevated,offshore,elevated.offshore,841423.9482,4105461.345,1162187.343,4.879182906,1.381214957,3.532529734
02_15,2,1,15,d,elevated,offshore,elevated.offshore,986132.9972,4495480.092,1580508.982,4.558695536,1.6027341,2.844324293
02_16,2,1,16,e,elevated,offshore,elevated.offshore,991479.4733,4695486.057,2017133.359,4.735837891,2.034468099,2.327801499
02_18,2,1,18,g,elevated,offshore,elevated.offshore,913940.614,5757044.12,1629605.771,6.29914464,1.783054332,3.532783341
02_19,2,1,19,h,elevated,offshore,elevated.offshore,1463711.911,7086803.97,2489253.832,4.841665847,1.700644651,2.846959149
02_20,2,1,20,i,elevated,offshore,elevated.offshore,1762452.107,7933569.888,2333065.276,4.501438567,1.32376095,3.400492035
02_21,2,1,21,j,elevated,offshore,elevated.offshore,1112778.731,5878054.603,2035712.121,5.28232113,1.829395247,2.887468489
02_22,2,1,22,k,elevated,offshore,elevated.offshore,1193740.686,4746821.08,1508664.1,3.976425648,1.263812249,3.146373722
03_12,3,2,12,a,elevated,offshore,elevated.offshore,866585.0673,4187079.695,1181646.267,4.831700722,1.363566384,3.543429039
03_13,3,2,13,b,elevated,offshore,elevated.offshore,798953.9065,3764748.284,1529538.52,4.712096972,1.914426487,2.461362191
03_14,3,2,14,c,elevated,offshore,elevated.offshore,659102.6302,1755761.346,706133.7029,2.663866393,1.071356221,2.486443203
03_15,3,2,15,d,elevated,offshore,elevated.offshore,1065705.808,5678460.718,2113302.6,5.328356736,1.983007491,2.68700787
03_16,3,2,16,e,elevated,offshore,elevated.offshore,1184325.109,3285946.863,1225665.296,2.774531114,1.034906114,2.680949583
03_17,3,2,17,f,elevated,offshore,elevated.offshore,1027624.309,5847275.071,2196846.141,5.690090257,2.137791137,2.661667999
03_18,3,2,18,g,elevated,offshore,elevated.offshore,1316067.146,5487128.457,1794895.044,4.169337767,1.363832422,3.057074828
03_19,3,2,19,h,elevated,offshore,elevated.offshore,1188097.768,6261474.938,2159825.983,5.270168083,1.817885733,2.899064548
03_20,3,2,20,i,elevated,offshore,elevated.offshore,2917486.752,10759083.52,3694349.735,3.687791732,1.266278153,2.912307793
03_21,3,2,21,j,elevated,offshore,elevated.offshore,932910.7237,5163855.726,1291697.482,5.535208884,1.384588524,3.997728414
03_22,3,2,22,k,elevated,offshore,elevated.offshore,767218.8317,3180214.666,621975.3947,4.145120707,0.810688384,5.113087581
04_12,4,2,12,a,elevated,discharge,elevated.discharge,743813.6827,1981431.991,265002.7495,2.663882148,0.356275712,7.477024276
04_13,4,2,13,b,elevated,discharge,elevated.discharge,961521.8331,6412178.412,2383299.899,6.668780875,2.47867476,2.690462251
04_14,4,2,14,c,elevated,discharge,elevated.discharge,906605.9226,5062088.459,1474097.57,5.583559883,1.625951843,3.434025373
04_15,4,2,15,d,elevated,discharge,elevated.discharge,974371.6116,3867021.412,1285798.478,3.968733659,1.319618164,3.007486382
04_16,4,2,16,e,elevated,discharge,elevated.discharge,1496545.371,5362823.072,1829692.819,3.583468418,1.222610991,2.930996403
04_17,4,2,17,f,elevated,discharge,elevated.discharge,952850.8772,6104155.702,1809733.187,6.406202532,1.8992827,3.372958923
04_18,4,2,18,g,elevated,discharge,elevated.discharge,842254.5197,3674402.694,1258725.038,4.362579966,1.4944711,2.919146424
04_19,4,2,19,h,elevated,discharge,elevated.discharge,1328947.368,5386830.634,2414069.501,4.053456715,1.816527545,2.231431462
04_20,4,2,20,i,elevated,discharge,elevated.discharge,1387344.199,7461925.136,2796511.266,5.378568014,2.015729959,2.668297899
04_21,4,2,21,j,elevated,discharge,elevated.discharge,1661749.571,5986760.149,2089370.783,3.602684937,1.257331923,2.865341181
04_22,4,2,22,k,elevated,discharge,elevated.discharge,664251.2077,3993189.949,1600599.235,6.01156596,2.409629394,2.494809357
05_12,5,3,12,a,elevated,discharge,elevated.discharge,740646.7977,2747675.65,1268773.092,3.70983262,1.71306093,2.165616269
05_13,5,3,13,b,elevated,discharge,elevated.discharge,795161.2903,6346891.667,2539700.269,7.981892157,3.193943543,2.499071148
05_14,5,3,14,c,elevated,discharge,elevated.discharge,477498.0931,2807091.66,1368441.266,5.878749468,2.865857029,2.051305913
05_15,5,3,15,d,elevated,discharge,elevated.discharge,990099.0099,3583072.855,1057673.845,3.618903583,1.068250583,3.387691652
05_16,5,3,16,e,elevated,discharge,elevated.discharge,998570.748,2940139.828,1032255.121,2.944348044,1.033732586,2.848268579
05_17,5,3,17,f,elevated,discharge,elevated.discharge,1206521.739,4568455.503,1657085.258,3.786467624,1.373440034,2.756922422
05_18,5,3,18,g,elevated,discharge,elevated.discharge,728033.4728,1657820.688,492710.5067,2.27712152,0.676769029,3.364695222
05_19,5,3,19,h,elevated,discharge,elevated.discharge,2072651.357,6648023.939,2785915.658,3.207497448,1.344131346,2.386297633
05_20,5,3,20,i,elevated,discharge,elevated.discharge,1459113.751,7034281.483,2004093.269,4.820927416,1.373500365,3.509957142
05_21,5,3,21,j,elevated,discharge,elevated.discharge,1618604.651,5312905.039,1892664.729,3.282398228,1.169318726,2.807103106
05_22,5,3,22,k,elevated,discharge,elevated.discharge,958810.7773,4111511.304,1576320.842,4.288136305,1.644037468,2.608295972
06_12,6,3,12,a,elevated,offshore,elevated.offshore,496765.8473,1876646.543,462427.7706,3.777728588,0.930876736,4.058247931
06_13,6,3,13,b,elevated,offshore,elevated.offshore,1238019.169,4524805.045,1232806.11,3.654874785,0.995789194,3.670329833
06_14,6,3,14,c,elevated,offshore,elevated.offshore,911935.1101,3485935.593,968255.6006,3.82256978,1.061759318,3.600222494
06_15,6,3,15,d,elevated,offshore,elevated.offshore,1376466.857,4267665.504,1474729.675,3.100449155,1.071387711,2.893862906
06_16,6,3,16,e,elevated,offshore,elevated.offshore,939855.6536,4760220.997,2250832.866,5.064842648,2.394870805,2.114870931
06_17,6,3,17,f,elevated,offshore,elevated.offshore,1066274.719,6556421.254,2482051.755,6.148904344,2.327778864,2.641532853
06_18,6,3,18,g,elevated,offshore,elevated.offshore,822339.4899,6167246.189,1860851.583,7.499635205,2.262875134,3.31420638
06_19,6,3,19,h,elevated,offshore,elevated.offshore,1346297.062,7297429.734,2770290.305,5.420371133,2.057711022,2.634175098
06_20,6,3,20,i,elevated,offshore,elevated.offshore,1573203.674,7724354.403,2791773.816,4.909951923,1.774578755,2.766826725
06_21,6,3,21,j,elevated,offshore,elevated.offshore,971970.677,4461870.49,1904880.121,4.590540225,1.959812334,2.342336634
06_22,6,3,22,k,elevated,offshore,elevated.offshore,1092561.045,5912194.87,2093223.831,5.411317654,1.915887301,2.824444659
07_12,7,1,12,a,control,discharge,control.discharge,1336143.309,5665222.603,1926861.17,4.23998127,1.442106664,2.940130141
07_13,7,1,13,b,control,discharge,control.discharge,1748900.83,8092859.632,3297876.079,4.627397672,1.885685009,2.453961107
07_14,7,1,14,c,control,discharge,control.discharge,1308868.502,5838339.534,2577508.07,4.460600532,1.969264343,2.265110089
07_15,7,1,15,d,control,discharge,control.discharge,1684470.008,7620443.851,2754588.195,4.523941545,1.635284797,2.766454842
07_16,7,1,16,e,control,discharge,control.discharge,1602019.129,5068454.57,1975946.599,3.163791542,1.233410116,2.565076693
07_17,7,1,17,f,control,discharge,control.discharge,1819383.26,10199290.14,3573280.348,5.605905233,1.96400639,2.85432128
07_18,7,1,18,g,control,discharge,control.discharge,1438157.236,8192954.181,3043121.432,5.696841748,2.115986595,2.692286313
07_19,7,1,19,h,control,discharge,control.discharge,2038695.412,8359028.929,3164140.041,4.100185286,1.552041576,2.641801192
07_20,7,1,20,i,control,discharge,control.discharge,2058426.966,7151295.506,2205693.708,3.474155568,1.071543341,3.242197899
07_21,7,1,21,j,control,discharge,control.discharge,1913315.927,7694432.028,2779880.94,4.021516739,1.452912664,2.767899847
07_22,7,1,22,k,control,discharge,control.discharge,1443959.243,10230837.62,3604147.016,7.085267585,2.496017137,2.838629383
08_12,8,2,12,a,control,discharge,control.discharge,1622187.336,6379048.317,2141598.116,3.932374624,1.320191613,2.978639301
08_13,8,2,13,b,control,discharge,control.discharge,1783832.879,6628463.064,3158086.437,3.715854294,1.770393669,2.098885891
08_14,8,2,14,c,control,discharge,control.discharge,1611492.817,5721217.989,2084474.287,3.55025969,1.293505168,2.744681489
08_15,8,2,15,d,control,discharge,control.discharge,1910629.067,7889349.964,3482258.134,4.129189752,1.822571526,2.265584474
08_16,8,2,16,e,control,discharge,control.discharge,1573317.999,9188080.314,3059101.974,5.839938475,1.944363426,3.003522077
08_17,8,2,17,f,control,discharge,control.discharge,1588859.416,9286405.007,3296666.943,5.844698977,2.074863836,2.816907248
08_18,8,2,18,g,control,discharge,control.discharge,1954133.333,8478503.378,2493501.067,4.338753775,1.276013783,3.400240526
08_19,8,2,19,h,control,discharge,control.discharge,1775741.24,5560683.827,2152506.289,3.131471919,1.212173396,2.583353115
08_20,8,2,20,i,control,discharge,control.discharge,2422119.816,11265788.1,3813070.43,4.651210077,1.574269945,2.954518754
08_21,8,2,21,j,control,discharge,control.discharge,1631043.257,5762393.271,1770513.147,3.532949385,1.08550962,3.254645853
08_22,8,2,22,k,control,discharge,control.discharge,1092991.296,8864668.423,2910929.226,8.110465703,2.663268441,3.045305377
09_12,9,1,12,a,control,offshore,control.offshore,1518361.582,8374063.5,2858709.216,5.515197171,1.882759186,2.929316299
09_13,9,1,13,b,control,offshore,control.offshore,1934618.609,7527695.166,2875632.02,3.891048671,1.486407712,2.617753285
09_14,9,1,14,c,control,offshore,control.offshore,1444902.77,7959131.31,2674387.645,5.508419997,1.850911841,2.976057463
09_15,9,1,15,d,control,offshore,control.offshore,2370909.091,10293611.04,3682334.545,4.341630425,1.553131902,2.795403545
09_16,9,1,16,e,control,offshore,control.offshore,1389640.691,9609555.452,3077213.564,6.915136781,2.21439512,3.122810703
09_17,9,1,17,f,control,offshore,control.offshore,1487872.488,9756212.174,3338164.126,6.557156109,2.24358213,2.922628069
09_18,9,1,18,g,control,offshore,control.offshore,1461324.871,9036636.123,2682931.509,6.183865273,1.835958288,3.368194862
09_19,9,1,19,h,control,offshore,control.offshore,1816301.703,7718966.444,2795398.317,4.249826133,1.53906056,2.76131183
09_20,9,1,20,i,control,offshore,control.offshore,2762711.864,13068964.89,4270911.084,4.730484224,1.545912601,3.059994608
09_21,9,1,21,j,control,offshore,control.offshore,1716112.532,9265689.827,3114028.843,5.399232075,1.814583126,2.975466925
09_22,9,1,22,k,control,offshore,control.offshore,1786112.519,10907452.53,3583756.293,6.10681153,2.006456063,3.04358099
10_12,10,2,12,a,control,offshore,control.offshore,1239852.399,4350976.893,1277363.469,3.509270054,1.030254464,3.40621679
10_13,10,2,13,b,control,offshore,control.offshore,1672116.659,5841971.13,2069473.56,3.493758104,1.237637068,2.822926198
10_14,10,2,14,c,control,offshore,control.offshore,1024137.931,5354541.918,1891122.953,5.228340593,1.846551031,2.831408667
10_15,10,2,15,d,control,offshore,control.offshore,1801474.201,6631147.256,2477623.26,3.680955992,1.375330969,2.676414677
10_16,10,2,16,e,control,offshore,control.offshore,1655462.185,5127410.131,2132933.707,3.097268049,1.288421884,2.403923814
10_17,10,2,17,f,control,offshore,control.offshore,1850308.642,8626828.704,3047659.979,4.662372811,1.64710898,2.830640151
10_18,10,2,18,g,control,offshore,control.offshore,1450180.072,5429376.017,2021262.372,3.743932303,1.393800957,2.686131248
10_19,10,2,19,h,control,offshore,control.offshore,2073716.012,10339115.21,3722022.356,4.985791278,1.794856352,2.777821898
10_20,10,2,20,i,control,offshore,control.offshore,2263414.634,10304667.41,3305474.501,4.55270866,1.460392829,3.117454817
10_21,10,2,21,j,control,offshore,control.offshore,1410309.278,6232966.323,2811137.457,4.419574074,1.99327729,2.217239967
10_22,10,2,22,k,control,offshore,control.offshore,1303617.571,6210905.9,2530521.533,4.764361909,1.941153287,2.454397569
11_12,11,3,12,a,control,discharge,control.discharge,989757.9143,4909208.644,1647924.659,4.960009486,1.664977501,2.979024932
11_13,11,3,13,b,control,discharge,control.discharge,1157596.372,6303688.209,2285306.878,5.445497551,1.974182827,2.758355243
11_14,11,3,14,c,control,discharge,control.discharge,1296183.206,5548445.929,2026676.209,4.280603161,1.56357234,2.737707141
11_15,11,3,15,d,control,discharge,control.discharge,2287026.406,7722937.237,3105551.091,3.376846553,1.357899096,2.486816997
11_16,11,3,16,e,control,discharge,control.discharge,1582417.582,6944428.746,2831334.38,4.388493166,1.789246032,2.452705267
11_17,11,3,17,f,control,discharge,control.discharge,1872832.37,9139600.986,3126785.164,4.880095588,1.669548868,2.923002543
11_18,11,3,18,g,control,discharge,control.discharge,2037952.846,8540097.757,2900592.294,4.190527652,1.423287246,2.944259962
11_19,11,3,19,h,control,discharge,control.discharge,2632420.091,9151808.885,3439771.214,3.476576142,1.306695396,2.660586509
11_20,11,3,20,i,control,discharge,control.discharge,3453391.898,11528467.87,3401907.597,3.338302808,0.985091671,3.388824517
11_21,11,3,21,j,control,discharge,control.discharge,2004133.94,6791407.262,2948791.029,3.388699292,1.47135427,2.303115817
11_22,11,3,22,k,control,discharge,control.discharge,1242093.157,5692990.895,2231567.855,4.583384799,1.79661875,2.551117091
12_13,12,3,13,b,control,offshore,control.offshore,2373783.922,7436138.761,2875448.882,3.132609793,1.211335562,2.586079275
12_14,12,3,14,c,control,offshore,control.offshore,1552617.663,6134455.755,2191412.216,3.951040815,1.411430688,2.799316218
12_15,12,3,15,d,control,offshore,control.offshore,1654159.869,6967141.291,2318102.32,4.211891135,1.401377438,3.005536568
12_16,12,3,16,e,control,offshore,control.offshore,1323322.384,7023745.764,2845133.74,5.307660362,2.149992908,2.468687382
12_17,12,3,17,f,control,offshore,control.offshore,1700642.792,7707919.881,2773638.277,4.532356776,1.63093525,2.778992468
12_18,12,3,18,g,control,offshore,control.offshore,1904097.646,6838825.414,2183336.893,3.591635875,1.146651748,3.132281342
12_19,12,3,19,h,control,offshore,control.offshore,2304407.088,10286033.02,3534660.609,4.463635384,1.533869874,2.910048277
12_20,12,3,20,i,control,offshore,control.offshore,4036242.251,11444055.4,3896746.543,2.835324216,0.965439213,2.936823135
12_21,12,3,21,j,control,offshore,control.offshore,1914391.144,7777021.525,2863813.653,4.062399447,1.495939668,2.715617169
12_22,12,3,22,k,control,offshore,control.offshore,1380597.015,5338919.776,2077906.841,3.867109459,1.505078468,2.569373983